workerid,condition,browser,gender,age,storyID,order,whichCharFirst,trialType,distance1,distance2,attentionCheck1,attentionCheck2,attentionCheckWL1,attentionCheckWL2,reactionTime,happy1,sad1,relief1,regret1,content1,disapp1,happy2,sad2,relief2,regret2,content2,disapp2,forcedWorse
140,1,Chrome,M,18,7,0,2,1,5,1,5,1,L,L,129214,3,7,3,7,3,8,5,5,5,5,5,5,1
141,1,Mozilla,F,43,7,0,2,1,5,1,5,1,L,L,110219,4,3,5,4,4,5,5,4,5,5,4,5,3
142,1,Chrome,M,25,7,0,1,1,1,5,1,5,L,L,69368,2,2,1,5,2,8,2,2,2,2,2,7,3
143,1,Chrome,M,46,7,0,2,1,5,1,5,1,L,L,80557,1,9,1,7,7,9,1,9,1,7,7,9,3
144,1,Chrome,M,21,7,0,2,1,5,1,5,1,L,L,76841,4,6,1,5,5,5,4,6,1,5,5,5,3
145,1,Firefox,F,49,7,0,1,1,1,5,1,5,L,L,61121,3,8,2,8,2,8,2,8,2,8,2,8,3
146,1,Chrome,F,28,7,0,1,1,1,5,1,5,L,L,108360,1,9,1,7,1,9,1,9,1,8,1,9,1
147,1,Firefox,F,30,7,0,2,1,5,1,5,1,L,L,92463,3,6,1,2,3,7,3,6,1,2,1,7,3
148,1,Chrome,F,28,7,0,1,1,1,5,1,5,L,L,62910,1,8,3,8,2,9,2,9,1,7,1,9,2
149,1,Chrome,M,31,7,0,2,1,5,1,5,1,L,L,136525,3,8,4,7,4,9,3,8,4,8,3,9,3
150,1,Chrome,M,48,7,0,1,1,1,5,1,5,L,L,138580,1,6,1,6,1,6,1,6,1,6,1,6,3
